county,Month,Year,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code,ID
Yuma,12,2019,,,NL,NL,122019Yuma
Weld,12,2019,314840,2448689,,,122019Weld
Washington,12,2019,,,NL,NL,122019Washington
Teller,12,2019,,,NL,NL,122019Teller
Summit,12,2019,,2476854,NR,,122019Summit
Sum of NR Counties,12,2019,27314662,116437714,,,122019Sum of NR Counties
Sedgwick,12,2019,,,NR,NR,122019Sedgwick
San Miguel,12,2019,,444533,NR,,122019San Miguel
San Juan,12,2019,,13232,NL,,122019San Juan
Saguache,12,2019,,246391,NL,,122019Saguache
Routt,12,2019,153737,1112789,,,122019Routt
Rio Grande,12,2019,,,NL,NL,122019Rio Grande
Rio Blanco,12,2019,,,NL,NL,122019Rio Blanco
Pueblo,12,2019,754498,6312066,,,122019Pueblo
Prowers,12,2019,,,NL,NL,122019Prowers
Pitkin,12,2019,,1305423,NR,,122019Pitkin
Phillips,12,2019,,,NL,NL,122019Phillips
Park,12,2019,,405939,NR,,122019Park
Ouray,12,2019,,730178,NL,,122019Ouray
Otero,12,2019,,,NR,NR,122019Otero
Morgan,12,2019,,1452645,NR,,122019Morgan
Montrose,12,2019,,,NR,NR,122019Montrose
Montezuma,12,2019,,1793908,NR,,122019Montezuma
Moffat,12,2019,,853209,NR,,122019Moffat
Mineral,12,2019,,,NL,NL,122019Mineral
Mesa,12,2019,,1896560,NR,,122019Mesa
Logan,12,2019,,,NL,NL,122019Logan
Lincoln,12,2019,,,NL,NL,122019Lincoln
Las Animas,12,2019,27183,4024747,,,122019Las Animas
Larimer,12,2019,805873,8164102,,,122019Larimer
Lake,12,2019,,241905,NL,,122019Lake
La Plata,12,2019,,2490195,NR,,122019La Plata
Kit Carson,12,2019,,,NL,NL,122019Kit Carson
Kiowa,12,2019,,,NL,NL,122019Kiowa
Jefferson,12,2019,1443914,4707227,,,122019Jefferson
Jackson,12,2019,,,NL,NL,122019Jackson
Huerfano,12,2019,,170840,NL,,122019Huerfano
Hinsdale,12,2019,,,NL,NL,122019Hinsdale
Gunnison,12,2019,,659584,NL,,122019Gunnison
Grand,12,2019,,655035,NR,,122019Grand
Gilpin,12,2019,,238682,NL,,122019Gilpin
Garfield,12,2019,113011,1883752,,,122019Garfield
Fremont,12,2019,,,NR,NL,122019Fremont
Elbert,12,2019,,,NL,NL,122019Elbert
El Paso,12,2019,8251711,,,NR,122019El Paso
Eagle,12,2019,107825,1847271,,,122019Eagle
Douglas,12,2019,,,NL,NL,122019Douglas
Dolores,12,2019,,,NL,NL,122019Dolores
Denver,12,2019,11636868,33246095,,,122019Denver
Delta,12,2019,,,NR,NL,122019Delta
Custer,12,2019,,,NL,NL,122019Custer
Crowley,12,2019,,,NL,NR,122019Crowley
Costilla,12,2019,,350369,NL,,122019Costilla
Conejos,12,2019,,,NL,NR,122019Conejos
Clear Creek,12,2019,,662522,NR,,122019Clear Creek
Cheyenne,12,2019,,,NL,NL,122019Cheyenne
Chaffee,12,2019,,,NR,NR,122019Chaffee
Broomfield,12,2019,,,NL,NL,122019Broomfield
Boulder,12,2019,1214853,8622927,,,122019Boulder
Bent,12,2019,,,NL,NR,122019Bent
Baca,12,2019,,,NL,NL,122019Baca
Archuleta,12,2019,,893754,NL,,122019Archuleta
Arapahoe,12,2019,875889,12359535,,,122019Arapahoe
Alamosa,12,2019,,,NR,NL,122019Alamosa
Adams,12,2019,708001,9632162,,,122019Adams
Yuma,11,2019,,,NL,NL,112019Yuma
Weld,11,2019,314633,2452994,,,112019Weld
Washington,11,2019,,,NL,NL,112019Washington
Teller,11,2019,,,NL,NL,112019Teller
Summit,11,2019,62495,1635742,,,112019Summit
Sum of NR Counties,11,2019,26697731,114381244,,,112019Sum of NR Counties
Sedgwick,11,2019,,,NR,NR,112019Sedgwick
San Miguel,11,2019,,200951,NR,,112019San Miguel
San Juan,11,2019,,,NL,NR,112019San Juan
Saguache,11,2019,,250049,NL,,112019Saguache
Routt,11,2019,155209,850163,,,112019Routt
Rio Grande,11,2019,,,NL,NL,112019Rio Grande
Rio Blanco,11,2019,,,NL,NL,112019Rio Blanco
Pueblo,11,2019,775300,6525541,,,112019Pueblo
Prowers,11,2019,,,NL,NL,112019Prowers
Pitkin,11,2019,,616732,NR,,112019Pitkin
Phillips,11,2019,,,NL,NL,112019Phillips
Park,11,2019,,375600,NR,,112019Park
Ouray,11,2019,,,NL,NR,112019Ouray
Otero,11,2019,,,NR,NR,112019Otero
Morgan,11,2019,,1614277,NR,,112019Morgan
Montrose,11,2019,,,NR,NR,112019Montrose
Montezuma,11,2019,,1918432,NR,,112019Montezuma
Moffat,11,2019,,927151,NR,,112019Moffat
Mineral,11,2019,,,NL,NL,112019Mineral
Mesa,11,2019,,1954432,NR,,112019Mesa
Logan,11,2019,,,NL,NL,112019Logan
Lincoln,11,2019,,,NL,NL,112019Lincoln
Las Animas,11,2019,27877,4384901,,,112019Las Animas
Larimer,11,2019,782261,8013976,,,112019Larimer
Lake,11,2019,,224151,NL,,112019Lake
La Plata,11,2019,,2259703,NR,,112019La Plata
Kit Carson,11,2019,,,NL,NL,112019Kit Carson
Kiowa,11,2019,,,NL,NL,112019Kiowa
Jefferson,11,2019,1353642,4515281,,,112019Jefferson
Jackson,11,2019,,,NL,NL,112019Jackson
Huerfano,11,2019,,182778,NL,,112019Huerfano
Hinsdale,11,2019,,,NL,NL,112019Hinsdale
Gunnison,11,2019,,535869,NL,,112019Gunnison
Grand,11,2019,,444042,NR,,112019Grand
Gilpin,11,2019,,250692,NL,,112019Gilpin
Garfield,11,2019,110705,1860390,,,112019Garfield
Fremont,11,2019,,,NR,NL,112019Fremont
Elbert,11,2019,,,NL,NL,112019Elbert
El Paso,11,2019,7950598,,,NR,112019El Paso
Eagle,11,2019,98948,1180699,,,112019Eagle
Douglas,11,2019,,,NL,NL,112019Douglas
Dolores,11,2019,,,NL,NL,112019Dolores
Denver,11,2019,11411092,34648813,,,112019Denver
Delta,11,2019,,,NR,NL,112019Delta
Custer,11,2019,,,NL,NL,112019Custer
Crowley,11,2019,,,NL,NR,112019Crowley
Costilla,11,2019,,337001,NL,,112019Costilla
Conejos,11,2019,,,NL,NR,112019Conejos
Clear Creek,11,2019,,535899,NR,,112019Clear Creek
Cheyenne,11,2019,,,NL,NL,112019Cheyenne
Chaffee,11,2019,,,NR,NR,112019Chaffee
Broomfield,11,2019,,,NL,NL,112019Broomfield
Boulder,11,2019,1357101,8483233,,,112019Boulder
Bent,11,2019,,,NL,NR,112019Bent
Baca,11,2019,,,NL,NL,112019Baca
Archuleta,11,2019,,699377,NL,,112019Archuleta
Arapahoe,11,2019,811741,12396622,,,112019Arapahoe
Alamosa,11,2019,,,NR,NL,112019Alamosa
Adams,11,2019,685651,9451567,,,112019Adams
Yuma,10,2019,,,NL,NL,102019Yuma
Weld,10,2019,318300,2509429,,,102019Weld
Washington,10,2019,,,NL,NL,102019Washington
Teller,10,2019,,,NL,NL,102019Teller
Summit,10,2019,73581,1501163,,,102019Summit
Sum of NR Counties,10,2019,850137,4777025,,,102019Sum of NR Counties
Sedgwick,10,2019,,,NR,NR,102019Sedgwick
San Miguel,10,2019,,291816,NR,,102019San Miguel
San Juan,10,2019,,,NL,NR,102019San Juan
Saguache,10,2019,,297666,NL,,102019Saguache
Routt,10,2019,159723,970928,,,102019Routt
Rio Grande,10,2019,,,NL,NL,102019Rio Grande
Rio Blanco,10,2019,,,NL,NL,102019Rio Blanco
Pueblo,10,2019,827745,6766568,,,102019Pueblo
Prowers,10,2019,,,NL,NL,102019Prowers
Pitkin,10,2019,,781376,NR,,102019Pitkin
Phillips,10,2019,,,NL,NL,102019Phillips
Park,10,2019,,417780,NR,,102019Park
Ouray,10,2019,,832739,NL,,102019Ouray
Otero,10,2019,,,NR,NR,102019Otero
Morgan,10,2019,,1703510,NR,,102019Morgan
Montrose,10,2019,,,NR,NR,102019Montrose
Montezuma,10,2019,,2193331,NR,,102019Montezuma
Moffat,10,2019,,938222,NR,,102019Moffat
Mineral,10,2019,,,NL,NL,102019Mineral
Mesa,10,2019,,2016637,NR,,102019Mesa
Logan,10,2019,,,NL,NL,102019Logan
Lincoln,10,2019,,,NL,NL,102019Lincoln
Las Animas,10,2019,24047,4732006,,,102019Las Animas
Larimer,10,2019,832007,8323162,,,102019Larimer
Lake,10,2019,,,NL,NR,102019Lake
La Plata,10,2019,,2602002,NR,,102019La Plata
Kit Carson,10,2019,,,NL,NL,102019Kit Carson
Kiowa,10,2019,,,NL,NL,102019Kiowa
Jefferson,10,2019,1324490,4884640,,,102019Jefferson
Jackson,10,2019,,,NL,NL,102019Jackson
Huerfano,10,2019,,246923,NL,,102019Huerfano
Hinsdale,10,2019,,,NL,NL,102019Hinsdale
Gunnison,10,2019,,681223,NL,,102019Gunnison
Grand,10,2019,,465374,NR,,102019Grand
Gilpin,10,2019,,289843,NL,,102019Gilpin
Garfield,10,2019,110987,2092588,,,102019Garfield
Fremont,10,2019,,,NR,NL,102019Fremont
Elbert,10,2019,,,NL,NL,102019Elbert
El Paso,10,2019,9021347,,,NR,102019El Paso
Eagle,10,2019,97072,1207886,,,102019Eagle
Douglas,10,2019,,,NL,NL,102019Douglas
Dolores,10,2019,,,NL,NL,102019Dolores
Denver,10,2019,12745449,36658663,,,102019Denver
Delta,10,2019,,,NR,NL,102019Delta
Custer,10,2019,,,NL,NL,102019Custer
Crowley,10,2019,,,NL,NR,102019Crowley
Costilla,10,2019,,417345,NL,,102019Costilla
Conejos,10,2019,,,NL,NR,102019Conejos
Clear Creek,10,2019,,616200,NR,,102019Clear Creek
Cheyenne,10,2019,,,NL,NL,102019Cheyenne
Chaffee,10,2019,,,NR,NR,102019Chaffee
Broomfield,10,2019,,,NL,NL,102019Broomfield
Boulder,10,2019,1228765,8610513,,,102019Boulder
Bent,10,2019,,,NL,NR,102019Bent
Baca,10,2019,,,NL,NL,102019Baca
Archuleta,10,2019,,846030,NL,,102019Archuleta
Arapahoe,10,2019,932864,12818898,,,102019Arapahoe
Alamosa,10,2019,,,NR,NL,102019Alamosa
Adams,10,2019,683146,9755113,,,102019Adams
Yuma,9,2019,,,NL,NL,92019Yuma
Weld,9,2019,319547,2488389,,,92019Weld
Washington,9,2019,,,NL,NL,92019Washington
Teller,9,2019,,,NL,NL,92019Teller
Summit,9,2019,78799,1766747,,,92019Summit
Sedgwick,9,2019,,,NR,NR,92019Sedgwick
San Miguel,9,2019,,497397,NR,,92019San Miguel
San Juan,9,2019,,,NL,NR,92019San Juan
Saguache,9,2019,,328977,NL,,92019Saguache
Routt,9,2019,153657,1137506,,,92019Routt
Rio Grande,9,2019,,,NL,NL,92019Rio Grande
Rio Blanco,9,2019,,,NL,NL,92019Rio Blanco
Pueblo,9,2019,833119,7075867,,,92019Pueblo
Prowers,9,2019,,,NL,NL,92019Prowers
Pitkin,9,2019,,1080615,NR,,92019Pitkin
Phillips,9,2019,,,NL,NL,92019Phillips
Park,9,2019,,490736,NR,,92019Park
Ouray,9,2019,,969806,NL,,92019Ouray
Otero,9,2019,,,NR,NR,92019Otero
Morgan,9,2019,,1814560,NR,,92019Morgan
Montrose,9,2019,,,NR,NR,92019Montrose
Montezuma,9,2019,,2236163,NR,,92019Montezuma
Moffat,9,2019,,941147,NR,,92019Moffat
Mineral,9,2019,,,NL,NL,92019Mineral
Mesa,9,2019,,2096230,NR,,92019Mesa
Logan,9,2019,,,NL,NL,92019Logan
Lincoln,9,2019,,,NL,NL,92019Lincoln
Las Animas,9,2019,26096,5283914,,,92019Las Animas
Larimer,9,2019,797466,8330812,,,92019Larimer
Lake,9,2019,,339220,NL,,92019Lake
La Plata,9,2019,,2703739,NR,,92019La Plata
Kit Carson,9,2019,,,NL,NL,92019Kit Carson
Kiowa,9,2019,,,NL,NL,92019Kiowa
Jefferson,9,2019,1314993,4895351,,,92019Jefferson
Jackson,9,2019,,,NL,NL,92019Jackson
Huerfano,9,2019,,296572,NL,,92019Huerfano
Hinsdale,9,2019,,,NL,NL,92019Hinsdale
Gunnison,9,2019,,856666,NL,,92019Gunnison
Grand,9,2019,,615627,NR,,92019Grand
Gilpin,9,2019,,237204,NL,,92019Gilpin
Garfield,9,2019,105595,2248930,,,92019Garfield
Fremont,9,2019,168380,,,NL,92019Fremont
Elbert,9,2019,,,NL,NL,92019Elbert
El Paso,9,2019,8842307,,,NR,92019El Paso
Eagle,9,2019,96109,1393391,,,92019Eagle
Douglas,9,2019,,,NL,NL,92019Douglas
Dolores,9,2019,,,NL,NL,92019Dolores
Denver,9,2019,12356485,37916128,,,92019Denver
Delta,9,2019,,,NR,NL,92019Delta
Custer,9,2019,,,NL,NL,92019Custer
Crowley,9,2019,,,NL,NR,92019Crowley
Costilla,9,2019,,481640,NL,,92019Costilla
Conejos,9,2019,,,NL,NR,92019Conejos
Clear Creek,9,2019,11791,718321,,,92019Clear Creek
Cheyenne,9,2019,,,NL,NL,92019Cheyenne
Chaffee,9,2019,,,NR,NR,92019Chaffee
Broomfield,9,2019,,,NL,NL,92019Broomfield
Boulder,9,2019,1165078,9284700,,,92019Boulder
Bent,9,2019,,,NL,NL,92019Bent
Baca,9,2019,,,NL,NL,92019Baca
Archuleta,9,2019,,1014873,NL,,92019Archuleta
Arapahoe,9,2019,866332,12830887,,,92019Arapahoe
Alamosa,9,2019,,,NR,NL,92019Alamosa
Adams,9,2019,731170,9752924,,,92019Adams
Yuma,8,2019,,,NL,NL,82019Yuma
Weld,8,2019,351554,2481294,,,82019Weld
Washington,8,2019,,,NL,NL,82019Washington
Teller,8,2019,,,NL,NL,82019Teller
Summit,8,2019,75201,2185290,,,82019Summit
Sedgwick,8,2019,,,NR,NR,82019Sedgwick
San Miguel,8,2019,,533833,NR,,82019San Miguel
San Juan,8,2019,,121885,NL,,82019San Juan
Saguache,8,2019,,371636,NL,,82019Saguache
Routt,8,2019,152079,1180583,,,82019Routt
Rio Grande,8,2019,,,NL,NL,82019Rio Grande
Rio Blanco,8,2019,,,NL,NL,82019Rio Blanco
Pueblo,8,2019,908369,8022564,,,82019Pueblo
Prowers,8,2019,,,NL,NL,82019Prowers
Pitkin,8,2019,,1444148,NR,,82019Pitkin
Phillips,8,2019,,,NL,NL,82019Phillips
Park,8,2019,,515847,NR,,82019Park
Ouray,8,2019,,974730,NL,,82019Ouray
Otero,8,2019,,,NR,NR,82019Otero
Morgan,8,2019,,1952180,NR,,82019Morgan
Montrose,8,2019,,,NR,NR,82019Montrose
Montezuma,8,2019,,2379204,NR,,82019Montezuma
Moffat,8,2019,,954918,NR,,82019Moffat
Mineral,8,2019,,,NL,NL,82019Mineral
Mesa,8,2019,,2099263,NR,,82019Mesa
Logan,8,2019,,,NL,NL,82019Logan
Lincoln,8,2019,,,NL,NL,82019Lincoln
Las Animas,8,2019,55576,6596831,,,82019Las Animas
Larimer,8,2019,830557,8922915,,,82019Larimer
Lake,8,2019,,,NL,NR,82019Lake
La Plata,8,2019,,2952663,NR,,82019La Plata
Kit Carson,8,2019,,,NL,NL,82019Kit Carson
Kiowa,8,2019,,,NL,NL,82019Kiowa
Jefferson,8,2019,1538794,5509978,,,82019Jefferson
Jackson,8,2019,,,NL,NL,82019Jackson
Huerfano,8,2019,,335825,NL,,82019Huerfano
Hinsdale,8,2019,,,NL,NL,82019Hinsdale
Gunnison,8,2019,,999651,NL,,82019Gunnison
Grand,8,2019,,706335,NR,,82019Grand
Gilpin,8,2019,,257280,NL,,82019Gilpin
Garfield,8,2019,106647,2482081,,,82019Garfield
Fremont,8,2019,,,NR,NL,82019Fremont
Elbert,8,2019,,,NL,NL,82019Elbert
El Paso,8,2019,10095380,,,NR,82019El Paso
Eagle,8,2019,110662,1704479,,,82019Eagle
Douglas,8,2019,,,NL,NL,82019Douglas
Dolores,8,2019,,,NL,NL,82019Dolores
Denver,8,2019,13211048,43018205,,,82019Denver
Delta,8,2019,,,NR,NL,82019Delta
Custer,8,2019,,,NL,NL,82019Custer
Crowley,8,2019,,,NL,NR,82019Crowley
Costilla,8,2019,,533246,NL,,82019Costilla
Conejos,8,2019,,,NL,NR,82019Conejos
Clear Creek,8,2019,,838619,NR,,82019Clear Creek
Cheyenne,8,2019,,,NL,NL,82019Cheyenne
Chaffee,8,2019,,746184,NR,,82019Chaffee
Broomfield,8,2019,,,NL,NL,82019Broomfield
Boulder,8,2019,1198666,10131205,,,82019Boulder
Bent,8,2019,,,NL,NL,82019Bent
Baca,8,2019,,,NL,NL,82019Baca
Archuleta,8,2019,,1146192,NL,,82019Archuleta
Arapahoe,8,2019,940341,14224608,,,82019Arapahoe
Alamosa,8,2019,,,NR,NL,82019Alamosa
Adams,8,2019,826903,10611452,,,82019Adams
Yuma,7,2019,,,NL,NL,72019Yuma
Weld,7,2019,315974,2253999,,,72019Weld
Washington,7,2019,,,NL,NL,72019Washington
Teller,7,2019,,,NL,NL,72019Teller
Summit,7,2019,,2321296,NR,,72019Summit
Sum of NR Counties,7,2019,731373,5026754,,,72019Sum of NR Counties
Sedgwick,7,2019,,,NR,NR,72019Sedgwick
San Miguel,7,2019,,598904,NR,,72019San Miguel
San Juan,7,2019,,,NL,NR,72019San Juan
Saguache,7,2019,,338997,NL,,72019Saguache
Routt,7,2019,138343,1172448,,,72019Routt
Rio Grande,7,2019,,,NL,NL,72019Rio Grande
Rio Blanco,7,2019,,,NL,NL,72019Rio Blanco
Pueblo,7,2019,887221,7718630,,,72019Pueblo
Prowers,7,2019,,,NL,NL,72019Prowers
Pitkin,7,2019,,1424271,NR,,72019Pitkin
Phillips,7,2019,,,NL,NL,72019Phillips
Park,7,2019,,545077,NR,,72019Park
Ouray,7,2019,,915949,NL,,72019Ouray
Otero,7,2019,,,NR,NR,72019Otero
Morgan,7,2019,,1661346,NR,,72019Morgan
Montrose,7,2019,,,NR,NR,72019Montrose
Montezuma,7,2019,39297,2268925,,,72019Montezuma
Moffat,7,2019,,845115,NR,,72019Moffat
Mineral,7,2019,,,NL,NL,72019Mineral
Mesa,7,2019,,1986339,NR,,72019Mesa
Logan,7,2019,,,NL,NL,72019Logan
Lincoln,7,2019,,,NL,NL,72019Lincoln
Las Animas,7,2019,39874,5983076,,,72019Las Animas
Larimer,7,2019,788774,8367530,,,72019Larimer
Lake,7,2019,,368841,NL,,72019Lake
La Plata,7,2019,,2844294,NR,,72019La Plata
Kit Carson,7,2019,,,NL,NL,72019Kit Carson
Kiowa,7,2019,,,NL,NL,72019Kiowa
Jefferson,7,2019,1405637,5198994,,,72019Jefferson
Jackson,7,2019,,,NL,NL,72019Jackson
Huerfano,7,2019,,338563,NL,,72019Huerfano
Hinsdale,7,2019,,,NL,NL,72019Hinsdale
Gunnison,7,2019,,1029159,NL,,72019Gunnison
Grand,7,2019,,764812,NR,,72019Grand
Gilpin,7,2019,,,NL,NR,72019Gilpin
Garfield,7,2019,110091,2346451,,,72019Garfield
Fremont,7,2019,165281,,,NL,72019Fremont
Elbert,7,2019,,,NL,NL,72019Elbert
El Paso,7,2019,9792834,,,NR,72019El Paso
Eagle,7,2019,104621,1713739,,,72019Eagle
Douglas,7,2019,,,NL,NL,72019Douglas
Dolores,7,2019,,,NL,NL,72019Dolores
Denver,7,2019,13134715,41013102,,,72019Denver
Delta,7,2019,,,NL,NL,72019Delta
Custer,7,2019,,,NL,NL,72019Custer
Crowley,7,2019,,,NL,NL,72019Crowley
Costilla,7,2019,,521095,NL,,72019Costilla
Conejos,7,2019,,,NL,NR,72019Conejos
Clear Creek,7,2019,,844933,NR,,72019Clear Creek
Cheyenne,7,2019,,,NL,NL,72019Cheyenne
Chaffee,7,2019,,779946,NR,,72019Chaffee
Broomfield,7,2019,,,NL,NL,72019Broomfield
Boulder,7,2019,1160910,10013202,,,72019Boulder
Bent,7,2019,,,NL,NL,72019Bent
Baca,7,2019,,,NL,NL,72019Baca
Archuleta,7,2019,,1206281,NL,,72019Archuleta
Arapahoe,7,2019,861782,13602987,,,72019Arapahoe
Alamosa,7,2019,,,NR,NL,72019Alamosa
Adams,7,2019,713244,9889690,,,72019Adams
Yuma,6,2019,,,NL,NL,62019Yuma
Weld,6,2019,311967,2352064,,,62019Weld
Washington,6,2019,,,NL,NL,62019Washington
Teller,6,2019,,,NL,NL,62019Teller
Summit,6,2019,74340,1736484,,,62019Summit
Sum of NR Counties,6,2019,791130,4658836,,,62019Sum of NR Counties
Sedgwick,6,2019,,,NR,NR,62019Sedgwick
San Miguel,6,2019,,469822,NR,,62019San Miguel
San Juan,6,2019,,,NL,NR,62019San Juan
Saguache,6,2019,,286055,NL,,62019Saguache
Routt,6,2019,142624,948687,,,62019Routt
Rio Grande,6,2019,,,NL,NL,62019Rio Grande
Rio Blanco,6,2019,,,NL,NL,62019Rio Blanco
Pueblo,6,2019,677697,6887823,,,62019Pueblo
Prowers,6,2019,,,NL,NL,62019Prowers
Pitkin,6,2019,,996927,NR,,62019Pitkin
Phillips,6,2019,,,NL,NL,62019Phillips
Park,6,2019,,455450,NR,,62019Park
Ouray,6,2019,,,NL,NR,62019Ouray
Otero,6,2019,,,NR,NR,62019Otero
Morgan,6,2019,,1447340,NR,,62019Morgan
Montrose,6,2019,,,NR,NR,62019Montrose
Montezuma,6,2019,,1901689,NR,,62019Montezuma
Moffat,6,2019,,795081,NR,,62019Moffat
Mineral,6,2019,,,NL,NL,62019Mineral
Mesa,6,2019,,1925607,NR,,62019Mesa
Logan,6,2019,,,NL,NL,62019Logan
Lincoln,6,2019,,,NL,NL,62019Lincoln
Las Animas,6,2019,38607,5314210,,,62019Las Animas
Larimer,6,2019,1336184,7642805,,,62019Larimer
Lake,6,2019,,277973,NL,,62019Lake
La Plata,6,2019,,2974674,NR,,62019La Plata
Kit Carson,6,2019,,,NL,NL,62019Kit Carson
Kiowa,6,2019,,,NL,NL,62019Kiowa
Jefferson,6,2019,1284543,4823369,,,62019Jefferson
Jackson,6,2019,,,NL,NL,62019Jackson
Huerfano,6,2019,,212900,NL,,62019Huerfano
Hinsdale,6,2019,,,NL,NL,62019Hinsdale
Gunnison,6,2019,,709385,NL,,62019Gunnison
Grand,6,2019,,549428,NR,,62019Grand
Gilpin,6,2019,,281427,NL,,62019Gilpin
Garfield,6,2019,122326,2164755,,,62019Garfield
Fremont,6,2019,,,NR,NL,62019Fremont
Elbert,6,2019,,,NL,NL,62019Elbert
El Paso,6,2019,9578226,,,NR,62019El Paso
Eagle,6,2019,89204,1317333,,,62019Eagle
Douglas,6,2019,,,NL,NL,62019Douglas
Dolores,6,2019,,,NL,NL,62019Dolores
Denver,6,2019,12684305,38530815,,,62019Denver
Delta,6,2019,,,NL,NL,62019Delta
Custer,6,2019,,,NL,NL,62019Custer
Crowley,6,2019,,,NL,NR,62019Crowley
Costilla,6,2019,,447991,NL,,62019Costilla
Conejos,6,2019,,,NL,NR,62019Conejos
Clear Creek,6,2019,,669502,NR,,62019Clear Creek
Cheyenne,6,2019,,,NL,NL,62019Cheyenne
Chaffee,6,2019,,629447,NR,,62019Chaffee
Broomfield,6,2019,,,NL,NL,62019Broomfield
Boulder,6,2019,1036137,8880820,,,62019Boulder
Bent,6,2019,,,NL,NL,62019Bent
Baca,6,2019,,,NL,NL,62019Baca
Archuleta,6,2019,,958126,NL,,62019Archuleta
Arapahoe,6,2019,787756,12303288,,,62019Arapahoe
Alamosa,6,2019,,,NR,NL,62019Alamosa
Adams,6,2019,698316,8822616,,,62019Adams
Yuma,5,2019,,,NL,NL,52019Yuma
Weld,5,2019,313835,2310239,,,52019Weld
Washington,5,2019,,,NL,NL,52019Washington
Teller,5,2019,,,NL,NL,52019Teller
Summit,5,2019,82717,1356620,,,52019Summit
Sum of NR Counties,5,2019,823838,4362599,,,52019Sum of NR Counties
Sedgwick,5,2019,,,NR,NR,52019Sedgwick
San Miguel,5,2019,,227610,NR,,52019San Miguel
San Juan,5,2019,,,NL,NR,52019San Juan
Saguache,5,2019,,256967,NL,,52019Saguache
Routt,5,2019,137484,771517,,,52019Routt
Rio Grande,5,2019,,,NL,NL,52019Rio Grande
Rio Blanco,5,2019,,,NL,NL,52019Rio Blanco
Pueblo,5,2019,777080,6412447,,,52019Pueblo
Prowers,5,2019,,,NL,NL,52019Prowers
Pitkin,5,2019,55475,576807,,,52019Pitkin
Phillips,5,2019,,,NL,NL,52019Phillips
Park,5,2019,,377648,NR,,52019Park
Ouray,5,2019,,,NL,NR,52019Ouray
Otero,5,2019,,,NR,NR,52019Otero
Morgan,5,2019,,1279570,NR,,52019Morgan
Montrose,5,2019,,,NR,NL,52019Montrose
Montezuma,5,2019,,1762895,NR,,52019Montezuma
Moffat,5,2019,,728850,NR,,52019Moffat
Mineral,5,2019,,,NL,NL,52019Mineral
Mesa,5,2019,,1878469,NR,,52019Mesa
Logan,5,2019,,,NL,NL,52019Logan
Lincoln,5,2019,,,NL,NL,52019Lincoln
Las Animas,5,2019,64389,4197971,,,52019Las Animas
Larimer,5,2019,800165,7422167,,,52019Larimer
Lake,5,2019,,,NL,NR,52019Lake
La Plata,5,2019,,2737859,NR,,52019La Plata
Kit Carson,5,2019,,,NL,NL,52019Kit Carson
Kiowa,5,2019,,,NL,NL,52019Kiowa
Jefferson,5,2019,1355225,4716515,,,52019Jefferson
Jackson,5,2019,,,NL,NL,52019Jackson
Huerfano,5,2019,,243954,NL,,52019Huerfano
Hinsdale,5,2019,,,NL,NL,52019Hinsdale
Gunnison,5,2019,,536027,NL,,52019Gunnison
Grand,5,2019,,396004,NR,,52019Grand
Gilpin,5,2019,,262353,NL,,52019Gilpin
Garfield,5,2019,126620,2112194,,,52019Garfield
Fremont,5,2019,,,NR,NL,52019Fremont
Elbert,5,2019,,,NL,NL,52019Elbert
El Paso,5,2019,9306251,,,NR,52019El Paso
Eagle,5,2019,86267,1032881,,,52019Eagle
Douglas,5,2019,,,NL,NL,52019Douglas
Dolores,5,2019,,,NL,NL,52019Dolores
Denver,5,2019,12805536,36761879,,,52019Denver
Delta,5,2019,,,NL,NL,52019Delta
Custer,5,2019,,,NL,NL,52019Custer
Crowley,5,2019,,,NL,NL,52019Crowley
Costilla,5,2019,,390105,NL,,52019Costilla
Conejos,5,2019,,,NL,NR,52019Conejos
Clear Creek,5,2019,,563276,NR,,52019Clear Creek
Cheyenne,5,2019,,,NL,NL,52019Cheyenne
Chaffee,5,2019,,483702,NR,,52019Chaffee
Broomfield,5,2019,,,NL,NL,52019Broomfield
Boulder,5,2019,1156589,8711541,,,52019Boulder
Bent,5,2019,,,NL,NL,52019Bent
Baca,5,2019,,,NL,NL,52019Baca
Archuleta,5,2019,,706823,NL,,52019Archuleta
Arapahoe,5,2019,866549,11666375,,,52019Arapahoe
Alamosa,5,2019,,,NR,NL,52019Alamosa
Adams,5,2019,688338,8417055,,,52019Adams
Yuma,4,2019,,,NL,NL,42019Yuma
Weld,4,2019,318358,2197597,,,42019Weld
Washington,4,2019,,,NL,NL,42019Washington
Teller,4,2019,,,NL,NL,42019Teller
Summit,4,2019,92687,1682309,,,42019Summit
Sum of NR Counties,4,2019,785480,2931606,,,42019Sum of NR Counties
Sedgwick,4,2019,,,NR,NR,42019Sedgwick
San Miguel,4,2019,,223250,NR,,42019San Miguel
San Juan,4,2019,,,NL,NR,42019San Juan
Saguache,4,2019,,201306,NL,,42019Saguache
Routt,4,2019,141676,816399,,,42019Routt
Rio Grande,4,2019,,,NL,NL,42019Rio Grande
Rio Blanco,4,2019,,,NL,NL,42019Rio Blanco
Pueblo,4,2019,719742,5827490,,,42019Pueblo
Prowers,4,2019,,,NL,NL,42019Prowers
Pitkin,4,2019,60498,829186,,,42019Pitkin
Phillips,4,2019,,,NL,NL,42019Phillips
Park,4,2019,,344036,NR,,42019Park
Ouray,4,2019,,625800,NL,,42019Ouray
Otero,4,2019,,,NR,NR,42019Otero
