"SAGDP2N Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2015","2016","2017","2018","2019"
"00000","United States *","1","All industry total",18238301.0,18745075.0,19542980.0,20611861.0,21433226.0
"00000","United States *","2","  Private industries",15898859.0,16360179.0,17094245.0,18062184.0,18793750.0
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",182283.0,166571.0,176625.0,178569.0,175373.0
"00000","United States *","4","      Farms",147384.0,130639.0,140053.0,140271.0,136080.0
"00000","United States *","5","      Forestry, fishing, and related activities",34899.0,35932.0,36571.0,38298.0,39293.0
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",261774.0,218027.0,274035.0,330819.0,309469.0
"00000","United States *","7","      Oil and gas extraction",158231.0,138568.0,174641.0,214790.0,193101.0
"00000","United States *","8","      Mining (except oil and gas)",49994.0,47348.0,56345.0,59454.0,60842.0
"00000","United States *","9","      Support activities for mining",53550.0,32111.0,43049.0,56575.0,55526.0
"00000","United States *","10","    Utilities",299232.0,301745.0,310092.0,321829.0,335264.0
"00000","United States *","11","    Construction",694943.0,746890.0,797848.0,848170.0,892684.0
"00000","United States *","12","    Manufacturing",2129592.0,2099736.0,2182354.0,2314368.0,2345849.0
"00000","United States *","13","      Durable goods manufacturing",1183755.0,1186362.0,1227244.0,1287614.0,1320768.0
"00000","United States *","14","        Wood product manufacturing",32485.0,35293.0,37504.0,40355.0,41243.0
"00000","United States *","15","        Nonmetallic mineral product manufacturing",54661.0,57422.0,61020.0,62739.0,64968.0
"00000","United States *","16","        Primary metal manufacturing",60066.0,56805.0,58908.0,64701.0,64220.0
"00000","United States *","17","        Fabricated metal product manufacturing",147361.0,145918.0,149223.0,157426.0,161184.0
"00000","United States *","18","        Machinery manufacturing",152472.0,143639.0,151602.0,160183.0,162609.0
"00000","United States *","19","        Computer and electronic product manufacturing",267323.0,267723.0,279876.0,294899.0,303924.0
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",63631.0,58394.0,59932.0,63541.0,65879.0
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",146240.0,155242.0,157725.0,159199.0,164006.0
"00000","United States *","22","        Other transportation equipment manufacturing",149076.0,148235.0,151404.0,159373.0,164847.0
"00000","United States *","23","        Furniture and related product manufacturing",29141.0,30260.0,29725.0,30870.0,31151.0
"00000","United States *","24","        Miscellaneous manufacturing",81299.0,87429.0,90325.0,94328.0,96736.0
"00000","United States *","25","      Nondurable goods manufacturing",945837.0,913375.0,955110.0,1026754.0,1025081.0
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",261724.0,264259.0,265723.0,260541.0,265007.0
"00000","United States *","27","        Textile mills and textile product mills",17936.0,18365.0,18067.0,17379.0,17242.0
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",9694.0,9612.0,9415.0,9362.0,9304.0
"00000","United States *","29","        Paper manufacturing",59668.0,58380.0,55205.0,59934.0,61217.0
"00000","United States *","30","        Printing and related support activities",40211.0,40968.0,40268.0,39647.0,40286.0
"00000","United States *","31","        Petroleum and coal products manufacturing",145371.0,85009.0,130534.0,181966.0,158066.0
"00000","United States *","32","        Chemical manufacturing",332981.0,357028.0,358349.0,376849.0,390784.0
"00000","United States *","33","        Plastics and rubber products manufacturing",78252.0,79754.0,77549.0,81075.0,83174.0
"00000","United States *","34","    Wholesale trade",1142867.0,1133629.0,1163517.0,1210860.0,1262290.0
"00000","United States *","35","    Retail trade",1020079.0,1052843.0,1083486.0,1115754.0,1162239.0
